уникальный номер,направление 1,направление 2,направление 3,адрес площадки,округ площадки,район площадки,расписание в активных периодах,расписание в плановом периоде,exp_date,exp_date2,geo
801368757,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Артамонова, дом 6, корпус 2",Западный административный округ,муниципальный округ Фили-Давыдково,"c 21.01.2023 по 25.12.2023, Пн. 11:00-13:00, без перерыва",,2023-12-25,,55.719972 37.458319
801369008,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Артамонова, дом 6, корпус 2",Западный административный округ,муниципальный округ Фили-Давыдково,"c 10.01.2023 по 26.12.2023, Вт. 13:00-15:00, без перерыва",,2023-12-26,,55.719972 37.458319
801363472,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Вилиса Лациса, дом 25, корпус 1",Северо-Западный административный округ,муниципальный округ Северное Тушино,"c 11.01.2023 по 27.12.2023, Ср. 15:00-17:00, без перерыва",,2023-12-27,,55.860762 37.419844
801365992,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, проспект Андропова, дом 42, корпус 1",Южный административный округ,муниципальный округ Нагатино-Садовники,"c 11.01.2023 по 27.12.2023, Ср. 13:00-15:00, без перерыва",,2023-12-27,,55.671077 37.660745
801366784,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Первомайская улица, дом 3, корпус 1",Восточный административный округ,муниципальный округ Измайлово,"c 22.02.2023 по 28.12.2023, Вс. 11:00-13:00, без перерыва",,2023-12-28,,55.791572 37.771687
801369921,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Карельский бульвар, дом 23, корпус 2",Северный административный округ,муниципальный округ Дмитровский,"c 11.01.2023 по 27.12.2023, Ср. 11:30-13:30, без перерыва",,2023-12-27,,55.896559 37.53482
801368490,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Карельский бульвар, дом 23, корпус 2",Северный административный округ,муниципальный округ Дмитровский,"c 10.01.2023 по 26.12.2023, Вт. 15:00-17:00, без перерыва",,2023-12-26,,55.896559 37.53482
801372369,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Даниловская набережная, дом 2, корпус 1",Южный административный округ,муниципальный округ Даниловский,"c 11.01.2023 по 27.12.2023, Ср. 11:00-13:00, без перерыва",,2023-12-27,,55.708293 37.643228
801363317,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, 3-я Карачаровская улица, дом 9, корпус 3",Юго-Восточный административный округ,муниципальный округ Нижегородский,"c 11.01.2023 по 27.12.2023, Ср. 14:00-16:00, без перерыва",,2023-12-27,,55.735038 37.749903
801366908,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Коломенская улица, дом 5, строение 3",Южный административный округ,муниципальный округ Нагатинский Затон,"c 13.01.2023 по 29.12.2023, Пт. 14:00-16:00, без перерыва",,2023-12-29,,55.68363 37.706191
801371824,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Голубинская улица, дом 32, корпус 2",Юго-Западный административный округ,муниципальный округ Ясенево,"c 15.02.2023 по 28.12.2023, Чт. 12:30-14:30, без перерыва",,2023-12-28,,55.593263 37.545015
801363796,Творчество,Художественно-прикладное творчество,Вязание крючком,"город Москва, улица Крылатские Холмы, дом 34",Западный административный округ,муниципальный округ Крылатское,"c 02.03.2023 по 31.12.2023, Чт. 10:00-12:00, без перерыва",,2023-12-31,,55.76484 37.410708
801371837,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Голубинская улица, дом 32, корпус 2",Юго-Западный административный округ,муниципальный округ Ясенево,"c 04.04.2023 по 27.12.2023, Сб. 14:00-16:00, без перерыва",,2023-12-27,,55.593263 37.545015
801371859,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Голубинская улица, дом 32, корпус 2",Юго-Западный административный округ,муниципальный округ Ясенево,"c 22.04.2023 по 26.12.2023, Сб. 16:30-18:30, без перерыва",,2023-12-26,,55.593263 37.545015
801368053,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Ленинский проспект, дом 60/2",Юго-Западный административный округ,муниципальный округ Гагаринский,"c 26.01.2023 по 29.12.2023, Пт. 11:00-13:00, без перерыва",,2023-12-29,,55.696098 37.558158
801368759,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Намёткина, дом 9",Юго-Западный административный округ,муниципальный округ Черемушки,"c 11.01.2023 по 31.12.2023, Пн. 15:00-17:00, без перерыва",,2023-12-31,,55.66372 37.551995
801364034,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Дубнинская улица, дом 31",Северный административный округ,муниципальный округ Бескудниковский,"c 28.01.2023 по 28.12.2023, Чт. 11:00-13:00, без перерыва",,2023-12-28,,55.86545 37.563844
801369634,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Черняховского, дом 14",Северный административный округ,муниципальный округ Аэропорт,"c 17.01.2023 по 25.12.2023, Пн. 11:15-13:15, без перерыва",,2023-12-25,,55.806884 37.538835
801370915,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Садовническая набережная, дом 47А",Центральный административный округ,муниципальный округ Замоскворечье,"c 10.01.2023 по 26.12.2023, Вт. 11:00-13:00, без перерыва",,2023-12-26,,55.742879 37.637973
801371719,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, 3-й Кадашёвский переулок, дом 9",Центральный административный округ,муниципальный округ Якиманка,"c 11.01.2023 по 27.12.2023, Ср. 11:00-13:00, без перерыва",,2023-12-27,,55.741759 37.622702
801363784,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Щёлковское шоссе, дом 24",Восточный административный округ,муниципальный округ Северное Измайлово,"c 13.01.2023 по 09.05.2023, Ср. 15:00-17:00, без перерыва","c 10.05.2023 по 27.12.2023, Вс. 11:00-13:00, без перерыва",2023-05-09,2023-12-27,
801371364,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Нагорная улица, дом 11А",Юго-Западный административный округ,муниципальный округ Котловка,"c 09.01.2023 по 25.12.2023, Пн. 11:00-13:00, без перерыва",,2023-12-25,,55.679966 37.607673
801363118,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Профсоюзная улица, дом 88/20",Юго-Западный административный округ,муниципальный округ Коньково,"c 21.01.2023 по 31.12.2023, Ср. 15:00-17:00, без перерыва",,2023-12-31,,55.650043 37.529906
801370419,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Борисовские Пруды, дом 8, корпус 3",Южный административный округ,муниципальный округ Братеево,"c 10.01.2023 по 26.12.2023, Вт. 15:00-17:00, без перерыва",,2023-12-26,,55.632972 37.73827
801365581,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Шипиловская улица, дом 9, корпус 2",Южный административный округ,муниципальный округ Орехово-Борисово Северное,"c 12.01.2023 по 28.12.2023, Чт. 15:00-17:00, без перерыва",,2023-12-28,,55.618537 37.704332
801368512,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Сальвадора Альенде, дом 1",Северный административный округ,муниципальный округ Сокол,"c 27.02.2023 по 27.12.2023, Пн. 16:00-18:00, без перерыва",,2023-12-27,,55.796192 37.511086
801367391,Физическая активность,"Фитнес, тренажеры",Степ-аэробика,"город Москва, улица Чечулина, дом 3, корпус 1",Восточный административный округ,муниципальный округ Ивановское,"c 06.03.2023 по 31.12.2023, Пн., Чт. 10:00-11:00, без перерыва",,2023-12-31,,55.780269 37.823206
801367393,Физическая активность,"Фитнес, тренажеры",Атлетическая гимнастика,"город Москва, улица Чечулина, дом 3, корпус 1",Восточный административный округ,муниципальный округ Ивановское,"c 06.03.2023 по 31.12.2023, Пн., Чт. 11:00-12:00, без перерыва",,2023-12-31,,55.780269 37.823206
801366025,Физическая активность,ОФП,ОФП,"город Москва, улица Корнейчука, дом 55А",Северо-Восточный административный округ,муниципальный округ Бибирево,"c 17.01.2023 по 24.12.2023, Вт., Пт. 09:45-10:45, без перерыва",,2023-12-24,,55.891658 37.626466
801366758,Физическая активность,Гимнастика,Гимнастика,"город Москва, Новопоселковая улица, дом 6, корпус 216-1",Северо-Западный административный округ,муниципальный округ Южное Тушино,"c 12.01.2023 по 31.07.2023, Пн., Чт. 09:00-10:00, без перерыва",,2023-07-31,,55.837525 37.445563
801365123,Спецпроект / Интеллектуальный клуб,Интеллектуальный клуб. Образовательный практикум,Тренажер развития познавательных способностей,"город Москва, Большая Семёновская улица, дом 38",Восточный административный округ,муниципальный округ Соколиная Гора,"c 16.01.2023 по 21.12.2023, Пн., Чт. 10:00-12:00, без перерыва",,2023-12-21,,55.781291 37.711518
801363953,Физическая активность,Гимнастика,Суставная гимнастика,"город Москва, улица Гурьянова, дом 30, г. Москва, улица Гурьянова, дом 30",Юго-Восточный административный округ,муниципальный округ Печатники,"c 27.04.2023 по 03.09.2023, Вт., Чт. 11:00-12:00, без перерыва",,2023-09-03,,55.680707 37.71583
801363959,Физическая активность,Гимнастика,Суставная гимнастика,"город Москва, улица Гурьянова, дом 30, г. Москва, улица Гурьянова, дом 30",Юго-Восточный административный округ,муниципальный округ Печатники,"c 27.04.2023 по 03.09.2023, Вт., Чт. 12:00-13:00, без перерыва",,2023-09-03,,55.680707 37.71583
801368004,Физическая активность,Гимнастика,Суставная гимнастика,"город Москва, Новопоселковая улица, дом 6, корпус 216-1",Северо-Западный административный округ,муниципальный округ Южное Тушино,"c 09.01.2023 по 30.07.2023, Вт., Пт. 11:00-12:00, без перерыва",,2023-07-30,,55.837525 37.445563
801369085,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Перовская улица, дом 62А",Восточный административный округ,муниципальный округ Новогиреево,"c 09.01.2023 по 31.12.2023, Вт. 14:00-16:00, без перерыва",,2023-12-31,,55.744789 37.795852
801366028,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Чт. 14:00-16:00, без перерыва",,2023-12-31,,55.749572 37.77467
801367696,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Новокосинская улица, дом 13, корпус 1",Восточный административный округ,муниципальный округ Новокосино,"c 09.01.2023 по 31.12.2023, Сб. 11:00-13:00, без перерыва",,2023-12-31,,55.735915 37.854332
801369370,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Ср. 10:00-12:00, без перерыва",,2023-12-31,,55.749572 37.77467
801369134,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Чт. 10:00-12:00, без перерыва",,2023-12-31,,55.749572 37.77467
801369933,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Вт. 12:00-14:00, без перерыва",,2023-12-31,,55.749572 37.77467
801370174,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 04.04.2023 по 31.12.2023, Чт. 11:00-13:00, без перерыва",,2023-12-31,,55.749572 37.77467
801363161,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Ср. 15:00-17:00, без перерыва",,2023-12-31,,55.749572 37.77467
801367736,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Новосибирская улица, дом 3",Восточный административный округ,муниципальный округ Гольяново,"c 09.01.2023 по 31.12.2023, Пн. 14:00-16:00, без перерыва",,2023-12-31,,55.813946 37.819594
801365933,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Пт. 11:00-13:00, без перерыва",,2023-12-31,,55.749572 37.77467
801368481,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Первомайская улица, дом 3, корпус 1",Восточный административный округ,муниципальный округ Измайлово,"c 09.01.2023 по 31.12.2023, Вт. 10:00-12:00, без перерыва",,2023-12-31,,55.791572 37.771687
801365953,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Пт. 12:00-14:00, без перерыва",,2023-12-31,,55.749572 37.77467
801364252,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, 2-я Рейсовая улица, дом 25Б, город Москва, улица Лобачевского, дом 66А",Западный административный округ,муниципальный округ Внуково,"c 23.02.2023 по 31.12.2023, Чт. 14:00-16:00, без перерыва",,2023-12-31,,55.676671 37.496408
801368424,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Зелёный проспект, дом 5/12, строение 1",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Пн. 13:00-15:00, без перерыва",,2023-12-31,,55.749572 37.77467
801369575,Образование,Здорово жить,Здорово жить,"город Москва, бульвар Маршала Рокоссовского, дом 6, корпус 1",Восточный административный округ,муниципальный округ Богородское,"c 01.01.2023 по 31.12.2023, Пн. 15:00-16:00, без перерыва",,2023-12-31,,55.809934 37.727885
801368460,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, 2-я Владимирская улица, дом 10",Восточный административный округ,муниципальный округ Перово,"c 09.01.2023 по 31.12.2023, Вт. 10:00-12:00, без перерыва",,2023-12-31,,55.760276 37.778685
801368715,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Студенческая улица, дом 42",Западный административный округ,муниципальный округ Дорогомилово,"c 09.01.2023 по 31.12.2023, Вт. 13:00-15:00, без перерыва",,2023-12-31,,55.739879 37.53976
801371900,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Домодедовская улица, дом 24, корпус 4",Южный административный округ,муниципальный округ Орехово-Борисово Южное,"c 06.02.2023 по 31.12.2023, Пт. 10:00-12:00, без перерыва",,2023-12-31,,55.60726 37.708383
801364007,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Веерная улица, дом 1, корпус 2",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 09.01.2023 по 31.12.2023, Чт. 10:00-12:00, без перерыва",,2023-12-31,,55.706944 37.481864
801369348,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Веерная улица, дом 1, корпус 2",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 01.02.2023 по 31.12.2023, Чт. 12:30-14:30, без перерыва",,2023-12-31,,55.706944 37.481864
801367536,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Веерная улица, дом 1, корпус 2",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 09.01.2023 по 31.12.2023, Пт. 10:00-12:00, без перерыва",,2023-12-31,,55.706944 37.481864
801369521,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Веерная улица, дом 1, корпус 2, г. Москва, Веерная улица, дом 1, корпус 2",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 07.02.2023 по 31.12.2023, Пт. 10:00-12:00, без перерыва",,2023-12-31,,55.706944 37.481864
801365725,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Веерная улица, дом 1, корпус 2",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 07.04.2023 по 31.12.2023, Пн. 10:00-12:00, без перерыва",,2023-12-31,,55.706944 37.481864
801367159,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Веерная улица, дом 1, корпус 2",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 01.04.2023 по 31.12.2023, Вт. 13:00-15:00, без перерыва",,2023-12-31,,55.706944 37.481864
801368878,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Лобачевского, дом 66А",Западный административный округ,муниципальный округ Проспект Вернадского,"c 02.02.2023 по 31.12.2023, Пн. 13:00-15:00, без перерыва",,2023-12-31,,55.676671 37.496408
801368338,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Лобачевского, дом 66А",Западный административный округ,муниципальный округ Проспект Вернадского,"c 02.02.2023 по 31.12.2023, Вт. 10:00-12:00, без перерыва",,2023-12-31,,55.676671 37.496408
801369882,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Лобачевского, дом 66А",Западный административный округ,муниципальный округ Проспект Вернадского,"c 09.01.2023 по 31.12.2023, Ср. 13:00-15:00, без перерыва",,2023-12-31,,55.676671 37.496408
801366018,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Пырьева, дом 5А",Западный административный округ,муниципальный округ Раменки,"c 09.01.2023 по 31.12.2023, Пт. 12:30-14:30, без перерыва",,2023-12-31,,55.725894 37.526357
801363786,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Пырьева, дом 5А",Западный административный округ,муниципальный округ Раменки,"c 09.01.2023 по 31.12.2023, Ср. 10:00-12:00, без перерыва",,2023-12-31,,55.725894 37.526357
801371948,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Пырьева, дом 5А",Западный административный округ,муниципальный округ Раменки,"c 02.04.2023 по 31.12.2023, Пт. 15:30-17:30, без перерыва",,2023-12-31,,55.725894 37.526357
801365377,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Пырьева, дом 5А",Западный административный округ,муниципальный округ Раменки,"c 09.01.2023 по 31.12.2023, Чт. 10:00-12:00, без перерыва",,2023-12-31,,55.725894 37.526357
801368336,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Богданова, дом 54",Западный административный округ,муниципальный округ Солнцево,"c 06.02.2023 по 31.12.2023, Пн. 12:30-14:30, без перерыва",,2023-12-31,,55.648814 37.392284
801370258,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Богданова, дом 54",Западный административный округ,муниципальный округ Солнцево,"c 06.02.2023 по 31.12.2023, Вт. 12:30-14:30, без перерыва",,2023-12-31,,55.648814 37.392284
801368414,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Богданова, дом 54",Западный административный округ,муниципальный округ Солнцево,"c 06.02.2023 по 31.12.2023, Вт. 10:00-12:00, без перерыва",,2023-12-31,,55.648814 37.392284
801364348,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Богданова, дом 54",Западный административный округ,муниципальный округ Солнцево,"c 15.02.2023 по 31.12.2023, Ср. 12:00-14:00, без перерыва",,2023-12-31,,55.648814 37.392284
801363061,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Богданова, дом 54",Западный административный округ,муниципальный округ Солнцево,"c 09.02.2023 по 31.12.2023, Ср. 13:00-15:00, без перерыва",,2023-12-31,,55.648814 37.392284
801363927,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, 2-я Филёвская улица, дом 7, корпус 7",Западный административный округ,муниципальный округ Филевский Парк,"c 09.01.2023 по 31.12.2023, Ср. 10:00-12:00, без перерыва",,2023-12-31,,55.736696 37.489931
801367135,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, 2-я Филёвская улица, дом 7, корпус 7",Западный административный округ,муниципальный округ Филевский Парк,"c 09.01.2023 по 31.12.2023, Сб. 14:00-16:00, без перерыва",,2023-12-31,,55.736696 37.489931
801369583,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, 2-я Филёвская улица, дом 7, корпус 7",Западный административный округ,муниципальный округ Филевский Парк,"c 12.04.2023 по 31.12.2023, Сб. 13:00-15:00, без перерыва",,2023-12-31,,55.736696 37.489931
801368982,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, 2-я Филёвская улица, дом 7, корпус 7",Западный административный округ,муниципальный округ Филевский Парк,"c 07.02.2023 по 31.12.2023, Вт. 15:00-17:00, без перерыва",,2023-12-31,,55.736696 37.489931
801370937,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Пришвина, дом 12, корпус 2",Северо-Восточный административный округ,муниципальный округ Бибирево,"c 09.01.2023 по 31.12.2023, Чт. 10:00-12:00, без перерыва",,2023-12-31,,55.887685 37.59719
801366847,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Пришвина, дом 12, корпус 2",Северо-Восточный административный округ,муниципальный округ Бибирево,"c 03.04.2023 по 31.12.2023, Пн. 15:30-17:30, без перерыва",,2023-12-31,,55.887685 37.59719
801363555,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, улица Пришвина, дом 12, корпус 2",Северо-Восточный административный округ,муниципальный округ Бибирево,"c 09.01.2023 по 31.12.2023, Ср. 16:00-18:00, без перерыва",,2023-12-31,,55.887685 37.59719
801371096,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Огородный проезд, дом 21",Северо-Восточный административный округ,муниципальный округ Бутырский,"c 15.04.2023 по 31.12.2023, Пн. 15:30-17:30, без перерыва",,2023-12-31,,55.816677 37.59639
801367213,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Новгородская улица, дом 32",Северо-Восточный административный округ,муниципальный округ Лианозово,"c 19.02.2023 по 31.12.2023, Пн. 10:00-12:00, без перерыва",,2023-12-31,,55.90365 37.581289
801370004,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Бажова, дом 5",Северо-Восточный административный округ,муниципальный округ Ростокино,"c 09.01.2023 по 31.12.2023, Ср. 11:00-13:00, без перерыва",,2023-12-31,,55.833739 37.660377
801370849,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Бажова, дом 5",Северо-Восточный административный округ,муниципальный округ Ростокино,"c 09.01.2023 по 31.12.2023, Вт. 12:30-14:30, без перерыва",,2023-12-31,,55.833739 37.660377
801371042,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Бажова, дом 5",Северо-Восточный административный округ,муниципальный округ Ростокино,"c 09.01.2023 по 31.12.2023, Пт. 11:30-13:30, без перерыва",,2023-12-31,,55.833739 37.660377
801371881,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Тимура Фрунзе, дом 3, строение 4",Центральный административный округ,муниципальный округ Хамовники,"c 09.01.2023 по 31.12.2023, Пн. 10:00-12:00, без перерыва",,2023-12-31,,55.732783 37.591369
801371886,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Тимура Фрунзе, дом 3, строение 4",Центральный административный округ,муниципальный округ Хамовники,"c 09.01.2023 по 31.12.2023, Пн. 12:30-14:30, без перерыва",,2023-12-31,,55.732783 37.591369
801371551,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Зеленодольская улица, дом 4",Юго-Восточный административный округ,муниципальный округ Кузьминки,"c 06.04.2023 по 31.12.2023, Чт. 12:30-14:30, без перерыва",,2023-12-31,,55.71659 37.789573
801371518,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Зеленодольская улица, дом 4",Юго-Восточный административный округ,муниципальный округ Кузьминки,"c 18.02.2023 по 31.12.2023, Пт. 13:00-15:00, без перерыва",,2023-12-31,,55.71659 37.789573
801369693,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Шипиловская улица, дом 9, корпус 2",Южный административный округ,муниципальный округ Орехово-Борисово Северное,"c 06.04.2023 по 31.12.2023, Чт. 10:00-12:00, без перерыва",,2023-12-31,,55.618537 37.704332
801363239,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Шипиловская улица, дом 9, корпус 2",Южный административный округ,муниципальный округ Орехово-Борисово Северное,"c 03.02.2023 по 31.12.2023, Ср. 12:30-14:30, без перерыва",,2023-12-31,,55.618537 37.704332
801370633,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Домодедовская улица, дом 24, корпус 4",Южный административный округ,муниципальный округ Орехово-Борисово Южное,"c 09.01.2023 по 31.12.2023, Пн. 12:30-14:30, без перерыва",,2023-12-31,,55.60726 37.708383
801370632,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, Домодедовская улица, дом 24, корпус 4",Южный административный округ,муниципальный округ Орехово-Борисово Южное,"c 09.01.2023 по 31.12.2023, Чт. 12:30-14:30, без перерыва",,2023-12-31,,55.60726 37.708383
801372147,Рисование,Рисование,Акварельная живопись,"город Москва, Новоостаповская улица, дом 10, строение 1",Юго-Восточный административный округ,муниципальный округ Южнопортовый,"c 12.01.2023 по 31.12.2023, Чт. 11:30-13:30, без перерыва",,2023-12-31,,55.717807 37.669423
801369966,Рисование,Рисование,ИЗО,"город Москва, 5-я Кожуховская улица, дом 26, строение 2",Юго-Восточный административный округ,муниципальный округ Южнопортовый,"c 10.01.2023 по 31.12.2023, Вт. 16:15-18:15, без перерыва",,2023-12-31,,55.704976 37.679026
801367179,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Различные техники рисования,"город Москва, улица Савельева, д.5",Без района,Без района,"c 12.01.2023 по 24.12.2023, Чт. 11:00-13:00, без перерыва",,2023-12-24,,
801366265,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Различные техники рисования,"город Москва, улица Савельева, д.5",Без района,Без района,"c 13.01.2023 по 24.12.2023, Пт. 11:00-13:00, без перерыва",,2023-12-24,,
801369854,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Различные техники рисования,"город Москва, улица Савельева, д.5",Без района,Без района,"c 09.01.2023 по 24.12.2023, Пн. 15:00-17:00, без перерыва",,2023-12-24,,
801369994,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Суставная гимнастика,"город Москва, улица Савельева, д.5",Без района,Без района,"c 09.01.2023 по 24.12.2023, Пн., Ср. 11:15-12:15, без перерыва",,2023-12-24,,
801368167,Образование,Пеший лекторий,Экскурс в историю,"г. Москва, улица Стромынка, дом 19, корпус 2",Восточный административный округ,муниципальный округ Сокольники,"c 21.01.2023 по 28.12.2023, Пн. 11:00-13:00, без перерыва",,2023-12-28,,55.795438 37.697756
801372049,Образование,Пеший лекторий,Экскурс в историю,"г. Москва, улица Стромынка, дом 19, корпус 2",Восточный административный округ,муниципальный округ Сокольники,"c 01.04.2023 по 28.12.2023, Чт. 13:00-15:00, без перерыва",,2023-12-28,,55.795438 37.697756
801366289,Образование,Пеший лекторий,Экскурс в историю,"г. Москва, Севастопольский проспект, дом 51",Юго-Западный административный округ,муниципальный округ Котловка,"c 09.01.2023 по 29.12.2023, Вт., Пт. 11:00-13:00, без перерыва",,2023-12-29,,55.666609 37.584793
801362781,Образование,Пеший лекторий,Экскурс в историю,"г. Москва, Севастопольский проспект, дом 51",Юго-Западный административный округ,муниципальный округ Котловка,"c 09.01.2023 по 29.12.2023, Пн., Ср. 11:00-13:00, без перерыва",,2023-12-29,,55.666609 37.584793
801365629,Образование,Пеший лекторий,Экскурс в историю,"город Москва, Ботаническая улица, дом 29, корпус 2",Северо-Восточный административный округ,муниципальный округ Марфино,"c 09.01.2023 по 27.12.2023, Ср. 11:00-13:00, без перерыва",,2023-12-27,,55.833081 37.593686
